file_name,NOSE_x,NOSE_y,NOSE_score,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_score,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_score,class_no,class_name
exp/frame_000126.jpg,29.0,28.0,0.3926047,26.0,23.0,0.35091117,29.0,24.0,0.38927183,31.0,25.0,0.47673586,39.0,25.0,0.49467406,33.0,41.0,0.6377628,58.0,36.0,0.89486605,22.0,65.0,0.87807155,74.0,47.0,0.6961424,5.0,78.0,0.5839249,55.0,57.0,0.32319006,59.0,84.0,0.8843409,75.0,79.0,0.9080387,47.0,125.0,0.5947889,79.0,122.0,0.76998675,64.0,162.0,0.6837536,93.0,160.0,0.6677345,0,exp
exp/frame_000127.jpg,10.0,33.0,0.59585357,12.0,30.0,0.50602186,11.0,30.0,0.44784108,21.0,30.0,0.53809416,20.0,30.0,0.46855485,33.0,43.0,0.8085879,21.0,43.0,0.5936836,42.0,60.0,0.44660908,31.0,58.0,0.2635616,33.0,52.0,0.16782148,26.0,65.0,0.11232829,41.0,80.0,0.8621219,28.0,80.0,0.8574968,45.0,114.0,0.8219135,21.0,110.0,0.86211044,61.0,140.0,0.6796676,27.0,140.0,0.8359524,0,exp
exp/frame_00024.jpg,27.0,19.0,0.48919004,28.0,17.0,0.41048518,24.0,16.0,0.5426882,29.0,18.0,0.57497686,20.0,19.0,0.60678107,34.0,31.0,0.65050393,14.0,32.0,0.8588488,36.0,50.0,0.41301188,12.0,50.0,0.7134987,38.0,59.0,0.20000346,13.0,65.0,0.6114413,31.0,63.0,0.7890263,19.0,64.0,0.8421815,31.0,89.0,0.8336204,18.0,90.0,0.68550384,30.0,115.0,0.704695,17.0,115.0,0.5645529,0,exp
exp/frame_000242.jpg,49.0,27.0,0.557873,47.0,23.0,0.6770158,52.0,24.0,0.6200402,41.0,26.0,0.5961627,55.0,27.0,0.600953,29.0,41.0,0.6874429,64.0,43.0,0.78376704,19.0,67.0,0.7863987,72.0,71.0,0.67776966,24.0,86.0,0.43841895,72.0,90.0,0.52693236,35.0,88.0,0.8855769,57.0,89.0,0.9022665,28.0,127.0,0.8854642,68.0,123.0,0.6843841,21.0,165.0,0.81570464,81.0,161.0,0.653759,0,exp
exp/frame_000243.jpg,11.0,34.0,0.35464498,12.0,30.0,0.5602205,12.0,31.0,0.45451,22.0,31.0,0.44702494,20.0,31.0,0.40421298,33.0,46.0,0.81120336,20.0,46.0,0.6039678,43.0,66.0,0.43557107,27.0,62.0,0.37278712,41.0,87.0,0.43251777,29.0,70.0,0.12232752,45.0,75.0,0.7557045,33.0,75.0,0.7879537,49.0,109.0,0.71065825,27.0,101.0,0.7276375,56.0,120.0,0.24217308,28.0,126.0,0.6805321,0,exp
exp/frame_000244.jpg,32.0,20.0,0.55263114,30.0,17.0,0.6954582,34.0,17.0,0.45749956,28.0,20.0,0.5939351,40.0,18.0,0.62872195,28.0,34.0,0.7249012,55.0,29.0,0.84714115,17.0,58.0,0.5417203,57.0,49.0,0.5416079,0.0,64.0,0.37056273,40.0,62.0,0.19488071,48.0,80.0,0.8772818,67.0,76.0,0.8795266,38.0,121.0,0.60368156,69.0,118.0,0.7016442,36.0,163.0,0.83431745,85.0,156.0,0.673384,0,exp
exp/frame_000362.jpg,42.0,26.0,0.44436833,40.0,24.0,0.5545288,44.0,25.0,0.6012218,34.0,27.0,0.7075097,47.0,27.0,0.541296,21.0,42.0,0.8712689,53.0,43.0,0.89242625,6.0,63.0,0.8283101,60.0,70.0,0.76478606,13.0,83.0,0.56852585,69.0,84.0,0.5443857,26.0,89.0,0.89017797,45.0,90.0,0.9182454,23.0,129.0,0.84694004,57.0,123.0,0.8398277,18.0,163.0,0.6435919,58.0,157.0,0.8073698,0,exp
exp/frame_000365.jpg,77.0,29.0,0.28648406,75.0,26.0,0.3215539,80.0,27.0,0.41408122,69.0,29.0,0.44303972,82.0,30.0,0.6386931,57.0,44.0,0.78967315,85.0,45.0,0.6440723,44.0,65.0,0.6422006,83.0,67.0,0.21134853,51.0,84.0,0.5654491,76.0,82.0,0.15585585,61.0,93.0,0.81557524,80.0,93.0,0.8156613,57.0,131.0,0.7469064,83.0,126.0,0.36421806,54.0,152.0,0.23596683,79.0,126.0,0.2442932,0,exp
exp/frame_000366.jpg,10.0,23.0,0.49505618,12.0,20.0,0.46431088,10.0,20.0,0.46040985,21.0,19.0,0.60818446,19.0,19.0,0.5262023,31.0,31.0,0.69566214,21.0,32.0,0.5771773,44.0,59.0,0.4036962,24.0,50.0,0.38269272,41.0,76.0,0.2976171,21.0,55.0,0.10043408,38.0,66.0,0.86002994,29.0,65.0,0.81933606,45.0,99.0,0.54575944,24.0,91.0,0.8129666,58.0,123.0,0.5880502,31.0,117.0,0.6546351,0,exp
exp/frame_000367.jpg,33.0,25.0,0.48670802,34.0,23.0,0.4595944,30.0,23.0,0.3355309,35.0,24.0,0.46393737,26.0,24.0,0.5029284,38.0,37.0,0.697842,20.0,36.0,0.7702018,40.0,55.0,0.3907058,17.0,55.0,0.6111603,42.0,65.0,0.24988145,18.0,72.0,0.5915319,36.0,70.0,0.76091653,25.0,70.0,0.8329052,37.0,95.0,0.7813793,24.0,96.0,0.60851914,34.0,120.0,0.6455809,22.0,124.0,0.3384818,0,exp
exp/frame_000368.jpg,46.0,28.0,0.4361794,49.0,25.0,0.54669297,45.0,25.0,0.5337496,56.0,24.0,0.74838066,48.0,24.0,0.39149898,69.0,34.0,0.8218174,43.0,39.0,0.84075534,83.0,49.0,0.4654735,41.0,58.0,0.6474223,73.0,63.0,0.26699448,31.0,71.0,0.5936663,71.0,78.0,0.8277817,54.0,79.0,0.81440747,71.0,113.0,0.72236776,43.0,111.0,0.72956645,79.0,136.0,0.14875437,48.0,141.0,0.76082003,0,exp
exp/frame_000369.jpg,32.0,32.0,0.5157852,31.0,29.0,0.50558007,34.0,29.0,0.5077133,32.0,30.0,0.5359552,42.0,29.0,0.6460396,30.0,43.0,0.7470482,56.0,40.0,0.88559556,9.0,65.0,0.6120535,50.0,46.0,0.46508998,4.0,44.0,0.63126326,33.0,44.0,0.18374589,51.0,88.0,0.8526449,68.0,85.0,0.8519285,40.0,129.0,0.5612651,70.0,128.0,0.6712296,56.0,169.0,0.54071313,83.0,166.0,0.7910985,0,exp
exp/frame_000482.jpg,5.0,22.0,0.52513933,7.0,19.0,0.55480087,4.0,19.0,0.55073,12.0,18.0,0.6322912,6.0,18.0,0.35060033,20.0,26.0,0.804134,8.0,27.0,0.43940434,35.0,41.0,0.82752264,14.0,41.0,0.28422126,32.0,58.0,0.69883186,11.0,46.0,0.11326576,36.0,47.0,0.70679283,25.0,49.0,0.70230925,32.0,72.0,0.4756535,18.0,69.0,0.744014,43.0,88.0,0.47675648,22.0,88.0,0.5012363,0,exp
exp/frame_000483.jpg,34.0,27.0,0.49213517,35.0,24.0,0.51723313,32.0,24.0,0.60089433,36.0,25.0,0.54774946,28.0,26.0,0.6470616,41.0,38.0,0.81805533,20.0,38.0,0.8700256,42.0,56.0,0.496328,17.0,56.0,0.61573935,45.0,62.0,0.28427184,17.0,71.0,0.51356924,37.0,71.0,0.8015153,25.0,72.0,0.8160629,37.0,96.0,0.7735911,24.0,97.0,0.7577387,36.0,120.0,0.62453604,23.0,121.0,0.5511086,0,exp
exp/frame_000484.jpg,63.0,24.0,0.5454029,60.0,20.0,0.60744274,66.0,20.0,0.6933114,57.0,23.0,0.562466,70.0,23.0,0.59268713,48.0,38.0,0.8408294,76.0,41.0,0.8651197,32.0,57.0,0.5816755,86.0,69.0,0.74043775,38.0,41.0,0.32466552,81.0,53.0,0.43312123,48.0,86.0,0.92238545,66.0,86.0,0.7686484,45.0,127.0,0.7295641,69.0,126.0,0.76533735,36.0,165.0,0.589224,61.0,162.0,0.6845144,0,exp
exp/frame_000485.jpg,28.0,36.0,0.5975887,31.0,33.0,0.88220346,27.0,33.0,0.8280299,40.0,32.0,0.7805767,30.0,32.0,0.65644985,50.0,41.0,0.87657493,24.0,43.0,0.838027,75.0,49.0,0.4047476,18.0,58.0,0.4532728,74.0,49.0,0.17358343,23.0,73.0,0.38451895,54.0,77.0,0.9114018,39.0,77.0,0.902051,45.0,114.0,0.73011774,26.0,109.0,0.6983512,66.0,139.0,0.69012606,39.0,134.0,0.5870466,0,exp
exp/frame_000486.jpg,15.0,37.0,0.6496598,18.0,33.0,0.58093905,15.0,34.0,0.6666529,24.0,34.0,0.6299497,21.0,34.0,0.648089,35.0,41.0,0.8470676,20.0,49.0,0.8732784,49.0,60.0,0.64560676,20.0,64.0,0.8078543,61.0,79.0,0.28704023,13.0,77.0,0.8675006,45.0,77.0,0.86777794,33.0,78.0,0.9077911,49.0,109.0,0.89830655,32.0,106.0,0.82228315,65.0,139.0,0.54197,40.0,133.0,0.8018036,0,exp
exp/frame_000487.jpg,46.0,25.0,0.61068153,43.0,21.0,0.48748544,49.0,22.0,0.64193285,38.0,24.0,0.6507461,52.0,26.0,0.7883573,30.0,37.0,0.74717426,60.0,39.0,0.8824833,10.0,47.0,0.574076,56.0,56.0,0.4468183,14.0,46.0,0.31622776,44.0,52.0,0.17990562,45.0,86.0,0.9316406,67.0,83.0,0.9127389,27.0,123.0,0.7793982,71.0,118.0,0.85337913,15.0,164.0,0.73126364,85.0,142.0,0.47357383,0,exp
exp/frame_000602.jpg,75.0,25.0,0.6289425,74.0,22.0,0.76862496,73.0,22.0,0.80638224,67.0,22.0,0.60149586,66.0,23.0,0.75383097,53.0,28.0,0.61866176,72.0,37.0,0.77806354,36.0,40.0,0.62748265,81.0,54.0,0.49843997,36.0,55.0,0.3139812,79.0,54.0,0.24061015,43.0,66.0,0.69152087,51.0,69.0,0.5863113,51.0,85.0,0.21519035,70.0,91.0,0.6512987,48.0,103.0,0.23851427,54.0,109.0,0.2133022,0,exp
exp/frame_000603.jpg,64.0,24.0,0.4992001,62.0,20.0,0.5737511,64.0,21.0,0.6331838,55.0,21.0,0.66545165,62.0,21.0,0.50363386,39.0,36.0,0.80281603,65.0,36.0,0.84316397,23.0,56.0,0.5556052,70.0,63.0,0.686243,37.0,58.0,0.27623385,82.0,71.0,0.6986519,31.0,83.0,0.81547654,50.0,83.0,0.8946204,29.0,121.0,0.6084778,66.0,120.0,0.7627127,10.0,144.0,0.64067507,53.0,152.0,0.5126685,0,exp
exp/frame_000605.jpg,74.0,14.0,0.4018153,72.0,11.0,0.6192362,77.0,12.0,0.5384246,67.0,13.0,0.6015284,78.0,15.0,0.7162229,53.0,28.0,0.5288665,81.0,33.0,0.8530175,53.0,52.0,0.23954268,92.0,60.0,0.7095117,62.0,56.0,0.18785402,93.0,56.0,0.3050503,49.0,74.0,0.82280767,66.0,77.0,0.9005899,51.0,113.0,0.78312916,67.0,116.0,0.72355676,41.0,146.0,0.7434408,59.0,151.0,0.576924,0,exp
exp/frame_000606.jpg,14.0,23.0,0.5399033,17.0,21.0,0.7511594,13.0,21.0,0.68261766,23.0,20.0,0.7298521,16.0,21.0,0.5458132,32.0,30.0,0.7509346,13.0,33.0,0.8012133,48.0,44.0,0.6308005,9.0,43.0,0.2491132,58.0,59.0,0.68340474,13.0,44.0,0.15868954,47.0,62.0,0.90846467,32.0,64.0,0.745521,48.0,97.0,0.91381246,32.0,93.0,0.9036325,60.0,123.0,0.80003047,36.0,122.0,0.8140303,0,exp
exp/frame_000607.jpg,29.0,19.0,0.5227037,31.0,17.0,0.6534232,27.0,17.0,0.5101303,32.0,18.0,0.589188,23.0,19.0,0.69433963,37.0,32.0,0.75659835,17.0,32.0,0.8387356,40.0,49.0,0.46796906,14.0,50.0,0.60870755,44.0,61.0,0.29684153,11.0,68.0,0.5594449,34.0,66.0,0.85067666,21.0,66.0,0.8529452,36.0,91.0,0.5532812,17.0,91.0,0.7642405,38.0,115.0,0.65294534,12.0,115.0,0.7599347,0,exp
